processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0800264-52.2023.8.19.0008,2023,TJRJ,Belford Roxo,PESSOA FÍSICA,LIGHT SERVIÇOS DE ELETRICIDADE,Energia,EXTINTO SEM MÉRITO,False,,1690
0800267-21.2025.8.19.0207,2025,TJRJ,Rio de Janeiro,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,ACORDO HOMOLOGADO,,,1351
0800267-29.2019.8.18.0152,2019,TJPI,Picos,PESSOA FÍSICA,UNICK SOCIEDADE DE INVESTIMENTOS,Outros,EXTINTO SEM MÉRITO,False,,4948
0800267-80.2021.8.19.0071,2021,TJRJ,Porto Real e Quatis,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,1116
0800268-14.2019.8.18.0152,2019,TJPI,Picos,PESSOA FÍSICA,UNICK SOCIEDADE DE INVESTIMENTOS,Outros,EXTINTO SEM MÉRITO,False,,5007
0800272-77.2022.8.10.0149,2022,TJMA,,,,,,,,1526
0800274-71.2024.8.15.0041,2024,TJPB,Eleição Em Belo Horizonte,PESSOA FÍSICA,UNASPUB - UNIAO NACIONAL DE AUXILIO AOS SERVIDORES PUBLICOS,Poder público,IMPROCEDENTE,False,57.75,10848
0800276-86.2021.8.10.0008,2021,TJMA,,PESSOA FÍSICA,BANCO PAN,Banco e financeira,EXTINTO SEM MÉRITO,False,,4378
0800277-07.2024.8.19.0076,2024,TJRJ,São José do Vale do Rio Preto,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,PARCIALMENTE PROCEDENTE,True,1500.0,3245
0800277-53.2021.8.19.0030,2021,TJRJ,Mangaratiba,PESSOA FÍSICA,MERCADOLIVRE.COM ATIVIDADES DE INTERNET,Varejo e serviços,ACORDO HOMOLOGADO,,,1229
0800277-54.2024.8.10.0012,2024,TJMA,,PESSOA FÍSICA,,,IMPROCEDENTE,False,,6075
0800281-38.2024.8.20.5113,2024,TJRN,Areia Branca,PESSOA FÍSICA,FUNDO DE INVESTIMENTOS EM DIREITO CREDITÓRIOS MULTISEGMENTOS NPL IPANEMA VI- NÃO PADRONIZA,Banco e financeira,IMPROCEDENTE,False,,20966
0800281-98.2019.8.18.0059,2019,TJPI,Luis Correia,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,PROCEDENTE,True,2126.33,10536
0800282-17.2022.8.15.0171,2022,TJPB,Esperança,PESSOA FÍSICA,,,IMPROCEDENTE,False,,9153
0800282-46.2023.8.19.0211,2023,TJRJ,,,,,ACORDO HOMOLOGADO,,,504
0800282-83.2019.8.10.0131,2019,TJMA,Senador La Rocque,PESSOA FÍSICA,COMPANHIA ENERGETICA DO MARANH?O-CEMAR,Energia,IMPROCEDENTE,False,,4411
0800282-85.2025.8.10.0127,2025,TJMA,São Luís Gonzaga do Maranhão,PESSOA FÍSICA,UNSBRAS UNIAO DOS SERVIDORES PUBLICOS DO BRASIL,Poder público,PROCEDENTE,True,847.2,10321
0800285-20.2021.8.19.0001,2021,TJRJ,,,,,ACORDO HOMOLOGADO,,,84
0800286-37.2021.8.19.0055,2021,TJRJ,São Pedro da Aldeia,PESSOA FÍSICA,PROLAGOS S/A - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO,Outros,IMPROCEDENTE,False,,2934
0800286-55.2024.8.19.0209,2024,TJRJ,Rio de Janeiro,PESSOA FÍSICA,SHPS TECNOLOGIA E SERVICOS,Outros,ACORDO HOMOLOGADO,,,832
0800287-46.2020.8.10.0010,2020,TJMA,,PESSOA FÍSICA,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS NPL II,Banco e financeira,ACORDO HOMOLOGADO,,,667
0800289-03.2020.8.20.5130,2020,TJRN,São José de Mipibu,PESSOA FÍSICA,BANCO BRADESCO E SUAS CONTROLADAS,Banco e financeira,IMPROCEDENTE,False,,8845
0800290-52.2017.8.10.0027,2017,TJMA,,PESSOA FÍSICA,TRICARD SERVICOS DE INTERMEDIACAO DE CARTOES DE CREDITO,Banco e financeira,ACORDO HOMOLOGADO,,,2407
0800290-88.2022.8.19.0039,2022,TJRJ,Paracambi,PESSOA FÍSICA,DIAGNOSTICOS DA AMERICA,Outros,ACORDO HOMOLOGADO,,,716
0800291-71.2024.8.19.0211,2024,TJRJ,,,,,ACORDO HOMOLOGADO,,,504
