processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0000002-56.2021.8.17.2500,2021,TJPE,Gravatá,PESSOA FÍSICA,BRADESCO SAUDE,Plano de saúde,IMPROCEDENTE,False,,12448
0000010-25.2015.8.18.0072,2015,TJPI,São Pedro do Piauí,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,IMPROCEDENTE,False,,6902
0000010-58.2020.8.17.8226,2020,TJPE,,,,,PROCEDENTE,True,4315.65,3474
0000010-67.2021.8.17.3200,2021,TJPE,Rio Formoso,PESSOA FÍSICA,CELPE-COMPANHIA ENERGETICA DE PERNAMBUCO,Energia,PROCEDENTE,True,3000.0,18758
0000012-63.2022.8.17.8224,2022,TJPE,,,,,,,,781
0000014-89.2019.8.17.3260,2019,TJPE,Santa Maria da Boa Vista,PESSOA FÍSICA,NEONERGIA PERNAMBUCO - CIA ENERGETICA DE PERNAMBUCO,Energia,IMPROCEDENTE,False,4000.0,11182
0000019-54.2024.8.17.8234,2024,TJPE,,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,EXTINTO SEM MÉRITO,False,,1897
0000026-18.2020.8.17.3180,2020,TJPE,Riacho das Almas,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,PARCIALMENTE PROCEDENTE,True,,7751
0000027-98.2014.8.10.0143,2014,TJMA,Morros,PESSOA FÍSICA,,,IMPROCEDENTE,False,,8852
0000030-35.2023.8.17.8229,2023,TJPE,Palmares,,,,IMPROCEDENTE,False,,10742
0000032-06.2017.8.18.0075,2017,TJPI,Simplício Mendes,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,PROCEDENTE,True,,7325
0000033-40.2024.8.17.8201,2024,TJPE,,,,,EXTINTO SEM MÉRITO,False,,1282
0000043-13.2018.8.10.0143,2018,TJMA,Morros,PESSOA FÍSICA,,,PROCEDENTE,True,7000.0,8717
0000048-56.2014.8.17.8234,2014,TJPE,,,,,ACORDO HOMOLOGADO,,,1749
0000051-76.2016.8.10.0040,2016,TJMA,,,,,PARCIALMENTE PROCEDENTE,True,5000.0,11693
0000063-34.2014.8.18.0074,2014,TJPI,Simões,PESSOA FÍSICA,MUNICIPIO DE CARIDADE DO PIAUI,Poder público,IMPROCEDENTE,False,,13864
0000065-46.2024.8.17.8233,2024,TJPE,,,,,PARCIALMENTE PROCEDENTE,True,,7991
0000068-60.2022.8.17.8236,2022,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2754
0000080-26.2024.8.17.4220,2024,TJPE,Arcoverde,,OLX ATIVIDADES DE INTERNET,Outros,IMPROCEDENTE,False,,7731
0000080-67.2023.8.17.8227,2023,TJPE,,,,,IMPROCEDENTE,False,,3710
0000088-76.2015.8.18.0053,2015,TJPI,Guadalupe,PESSOA FÍSICA,A. S. E SILVA BARROSO,Outros,PROCEDENTE,True,10000.0,7338
0000098-35.2016.8.25.0007,2016,TJSE,,,,,IMPROCEDENTE,False,,3773
0000100-82.2019.8.17.8232,2019,TJPE,,,,,ACORDO HOMOLOGADO,,,1348
0000102-64.2021.8.17.2450,2021,TJPE,Capoeiras,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,ACORDO HOMOLOGADO,,,4777
0000117-72.2016.8.18.0092,2016,TJPI,Avelino Lopes,PESSOA FÍSICA,TIM CELULAR,Telecomunicações,EXTINTO SEM MÉRITO,False,,7086
0000120-28.2017.8.18.0048,2017,TJPI,Demerval Lobão,PESSOA FÍSICA,BANCO PAN,Banco e financeira,PROCEDENTE,True,,11609
0000120-98.2022.8.17.8222,2022,TJPE,,PESSOA FÍSICA,,,IMPROCEDENTE,False,,4690
0000123-53.2021.8.17.8201,2021,TJPE,,,,,PARCIALMENTE PROCEDENTE,True,,5491
0000124-52.2024.8.17.8227,2024,TJPE,,,,,IMPROCEDENTE,False,,4434
0000128-59.2017.8.10.0102,2017,TJMA,Montes Altos,PESSOA FÍSICA,BANCO PANAMERICANO,Banco e financeira,IMPROCEDENTE,False,,6408
0000131-72.2018.8.17.8221,2018,TJPE,,,,,IMPROCEDENTE,False,,4666
0000149-96.2023.8.17.8228,2023,TJPE,,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,930.35,8474
0000153-05.2021.8.17.3120,2021,TJPE,Petrolândia,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,5094
0000154-20.2014.8.18.0044,2014,TJPI,Canto do Buriti,PESSOA FÍSICA,TELEFONICA BRASIL,Telecomunicações,IMPROCEDENTE,False,,7704
0000166-58.2019.8.17.8201,2019,TJPE,,,,,PARCIALMENTE PROCEDENTE,True,1500.0,9357
0000167-09.2025.8.26.0271,2025,TJSP,Itapevi,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,3999.0,8548
0000169-58.2015.8.10.0114,2015,TJMA,Riachão,PESSOA FÍSICA,BV LEASING - ARRENDAMENTO MERCANTIL,Banco e financeira,IMPROCEDENTE,False,,2388
0000173-48.2023.8.17.8221,2023,TJPE,Palmares,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,3363
0000185-15.2021.8.17.8227,2021,TJPE,,,,,EXTINTO SEM MÉRITO,False,,4554
0000190-42.2018.8.17.8227,2018,TJPE,,,,,IMPROCEDENTE,False,,6722
0000198-24.2025.8.12.0043,2025,TJMS,São Gabriel do Oeste,PESSOA FÍSICA,,,IMPROCEDENTE,False,,3260
0000200-63.2017.8.18.0089,2017,TJPI,Caracol,PESSOA FÍSICA,,,IMPROCEDENTE,False,,3113
0000201-41.2022.8.17.8224,2022,TJPE,,,,,IMPROCEDENTE,False,2000.0,5134
0000204-05.2018.8.17.2220,2018,TJPE,Tuparetama,PESSOA FÍSICA,COVEPEL COMERCIO DE VEICULOS E PECAS,Outros,ACORDO HOMOLOGADO,,,2054
0000208-17.2018.8.10.0125,2018,TJMA,São João Batista,PESSOA FÍSICA,BANCO PAN,Banco e financeira,EXTINTO SEM MÉRITO,False,,1888
0000221-40.2019.8.17.2500,2019,TJPE,Chã Grande,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,PROCEDENTE,True,5000.0,9418
0000221-93.2017.8.18.0071,2017,TJPI,São Miguel do Tapuio,PESSOA FÍSICA,CREFISA SA CREDITO FINANCIAMENTO E INVESTIMENTOS,Banco e financeira,IMPROCEDENTE,False,,4329
0000240-15.2020.8.17.8222,2020,TJPE,,,,,PARCIALMENTE PROCEDENTE,True,558.63,5931
0000242-73.2020.8.17.8225,2020,TJPE,,,,,IMPROCEDENTE,False,,8350
0000244-55.2020.8.17.8221,2020,TJPE,,,,,ACORDO HOMOLOGADO,,,893
0000248-85.2017.8.17.8225,2017,TJPE,,,,,EXTINTO SEM MÉRITO,False,,4778
0000249-12.2016.8.18.0034,2016,TJPI,Água Branca,PESSOA JURÍDICA,,,EXTINTO SEM MÉRITO,False,,4516
0000258-15.2020.8.17.8229,2020,TJPE,,,,,ACORDO HOMOLOGADO,,,1089
0000260-77.2018.8.17.8221,2018,TJPE,,,,,IMPROCEDENTE,False,,6536
0000266-83.2020.8.17.8231,2020,TJPE,,,,,ACORDO HOMOLOGADO,,,1648
0000267-77.2020.8.17.8228,2020,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2030
0000268-96.2024.8.17.8236,2024,TJPE,Surubim,PESSOA FÍSICA,NU FINANCEIRA S.A. - SOCIEDADE DE CREDITO,Banco e financeira,EXTINTO SEM MÉRITO,False,,2860
0000269-40.2018.8.17.3500,2018,TJPE,Tracunhaém,PESSOA FÍSICA,,,IMPROCEDENTE,False,,8368
0000277-31.2021.8.17.2750,2021,TJPE,Itaíba,PESSOA FÍSICA,BANCO VOTORANTIM,Banco e financeira,PROCEDENTE,True,,5232
0000278-82.2025.8.27.2722,2025,TJTO,Gurupi,PESSOA FÍSICA,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA,Energia,PROCEDENTE,True,21.4,11903
0000286-84.2021.8.17.2170,2021,TJPE,Aliança,PESSOA FÍSICA,BANCO MERCANTIL DO BRASIL,Banco e financeira,IMPROCEDENTE,False,,9388
0000288-87.2024.8.17.8236,2024,TJPE,Surubim,,,,IMPROCEDENTE,False,,7623
0000316-79.2019.8.18.0063,2019,TJPI,Amarante,PESSOA FÍSICA,BANCO DO ESTADO DO RIO GRANDE DO SUL,Banco e financeira,IMPROCEDENTE,False,,4849
0000327-09.2023.8.17.3390,2023,TJPE,Sertânia,,MUNICIPIO DE SERTANIA,Poder público,PROCEDENTE,True,,8968
0000329-96.2019.8.10.0129,2019,TJMA,São Raimundo das Mangabeiras,PESSOA FÍSICA,BANCO PANAMERICANO,Banco e financeira,EXTINTO SEM MÉRITO,False,,3384
0000330-27.2019.8.17.8232,2019,TJPE,,,,,ACORDO HOMOLOGADO,,,833
0000334-83.2019.8.17.3020,2019,TJPE,Ouricuri,,TREVO TRANSPORTES,Outros,PROCEDENTE,True,50000.0,8233
0000353-28.2023.8.17.8233,2023,TJPE,,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,3449
0000362-58.2017.8.18.0089,2017,TJPI,Caracol,PESSOA FÍSICA,KABUM COMERCIO ELETRONICO,Energia,EXTINTO SEM MÉRITO,False,,1959
0000362-58.2021.8.17.8233,2021,TJPE,,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,4000.0,8486
0000370-30.2015.8.05.0198,2015,TJBA,Planalto Bahia,PESSOA FÍSICA,JAIR LAGOA MOTOCICLETAS,Outros,PROCEDENTE,True,5696.0,5814
0000370-58.2023.8.17.8235,2023,TJPE,Pesqueira,,,,IMPROCEDENTE,False,,4378
0000375-20.2024.8.26.0435,2024,TJSP,Pedreira,,,,PROCEDENTE,True,20000.0,6333
0000379-91.2025.8.12.0021,2025,TJMS,,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1270
0000384-42.2023.8.17.8235,2023,TJPE,Pesqueira,,,,IMPROCEDENTE,False,,7619
0000385-49.2016.8.10.0125,2016,TJMA,,PESSOA FÍSICA,BRADESCO FINANCIAMENTOS,Banco e financeira,EXTINTO SEM MÉRITO,False,,6289
0000404-44.2020.8.17.3480,2020,TJPE,Timbaúba,PESSOA FÍSICA,CRED - SYSTEM ADMINISTRADORA DE CARTOES DE CREDITO,Banco e financeira,IMPROCEDENTE,False,,8939
0000420-16.2020.8.17.8227,2020,TJPE,Sua Continuidade,,,,ACORDO HOMOLOGADO,,,1208
0000429-72.2020.8.17.8228,2020,TJPE,,,,,IMPROCEDENTE,False,,4286
0000435-65.2023.8.17.8231,2023,TJPE,,,,,IMPROCEDENTE,False,,4468
0000443-81.2019.8.17.8231,2019,TJPE,,,,,EXTINTO SEM MÉRITO,False,,1871
0000447-78.2020.8.17.8233,2020,TJPE,,,,,PROCEDENTE,True,380.0,10650
0000451-59.2018.8.17.2810,2018,TJPE,Jaboatão dos Guararapes,PESSOA FÍSICA,,,PROCEDENTE,True,1500.0,15503
0000454-71.2017.8.18.0045,2017,TJPI,Castelo do Piauí,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,IMPROCEDENTE,False,,3949
0000472-60.2021.8.17.8232,2021,TJPE,,PESSOA FÍSICA,CRED - SYSTEM ADMINISTRADORA DE CARTOES DE CREDITO,Banco e financeira,,,,3844
0000484-63.2014.8.05.0081,2014,TJBA,,PESSOA FÍSICA,NET SERVICOS DE COMUNICACAO,Telecomunicações,EXTINTO SEM MÉRITO,False,,5893
0000486-67.2021.8.26.0157,2021,TJSP,Cubatão,PESSOA JURÍDICA,,,EXTINTO SEM MÉRITO,False,,1139
0000492-08.2022.8.17.8235,2022,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2019
0000494-92.2019.8.17.8231,2019,TJPE,,,,,IMPROCEDENTE,False,,3468
0000507-45.2023.8.17.8201,2023,TJPE,,PESSOA FÍSICA,,,PROCEDENTE,True,3000.0,4239
0000512-21.2019.8.17.3250,2019,TJPE,Santa Cruz do Capibaribe,PESSOA FÍSICA,NEONERGIA PERNAMBUCO - CIA ENERGETICA DE PERNAMBUCO,Energia,IMPROCEDENTE,False,,16541
0000513-55.2024.8.17.8221,2024,TJPE,,,,,PROCEDENTE,True,2000.0,6389
0000518-96.2021.8.17.2170,2021,TJPE,Aliança,PESSOA FÍSICA,BP PROMOTORA DE VENDAS,Outros,ACORDO HOMOLOGADO,,,4695
0000519-16.2023.8.17.3430,2023,TJPE,Tacaimbó,PESSOA FÍSICA,HAPVIDA ASSISTENCIA MEDICA,Plano de saúde,IMPROCEDENTE,False,,5621
0000521-28.2017.8.14.0116,2017,TJPA,,,,,IMPROCEDENTE,False,,4294
0000527-64.2023.8.17.8224,2023,TJPE,Gravatá,,,,EXTINTO SEM MÉRITO,False,,1343
0000529-62.2017.8.10.0036,2017,TJMA,Estreito,PESSOA FÍSICA,BANCO CELETEM,Banco e financeira,IMPROCEDENTE,False,,8128
0000531-32.2022.8.17.8226,2022,TJPE,,,,,EXTINTO SEM MÉRITO,False,,3199
0000540-39.2023.8.17.8232,2023,TJPE,,PESSOA FÍSICA,SKY BRASIL SERVICOS,Telecomunicações,IMPROCEDENTE,False,200.0,6639
0000545-07.2022.8.17.8229,2022,TJPE,,PESSOA FÍSICA,AZUL LINHAS AEREAS BRASILEIRAS,Transporte aéreo,PARCIALMENTE PROCEDENTE,True,4000.0,4839
0000553-62.2023.8.17.2210,2023,TJPE,Araripina,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,ACORDO HOMOLOGADO,,,1858
0000553-64.2020.8.17.8225,2020,TJPE,,,,,IMPROCEDENTE,False,,3341
0000556-58.2021.8.17.8233,2021,TJPE,,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,3734
0000558-55.2021.8.17.8224,2021,TJPE,,PESSOA FÍSICA,BANCO BMG,Banco e financeira,IMPROCEDENTE,False,,10517
0000565-41.2021.8.17.8226,2021,TJPE,,,,,EXTINTO SEM MÉRITO,False,,3712
0000570-91.2017.8.10.0080,2017,TJMA,,,,,IMPROCEDENTE,False,,4379
0000572-61.2015.8.18.0063,2015,TJPI,Amarante,PESSOA FÍSICA,TELEMAR NORTE LESTE,Telecomunicações,PROCEDENTE,True,3000.0,6664
0000573-62.2019.8.17.8234,2019,TJPE,,,,,IMPROCEDENTE,False,,3696
0000579-15.2015.8.05.0225,2015,TJBA,,PESSOA FÍSICA,MUNICIPIO DE SANTA TERESINHA,Poder público,IMPROCEDENTE,False,,10280
0000585-48.2025.8.27.2718,2025,TJTO,,PESSOA FÍSICA,PICPAY INSTITUICAO DE PAGAMENTO,Outros,PROCEDENTE,True,,10748
0000594-75.2019.8.10.0072,2019,TJMA,,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,EXTINTO SEM MÉRITO,False,,1963
0000594-93.2018.8.17.8227,2018,TJPE,,,,,PROCEDENTE,True,1000.0,3449
0000595-23.2023.8.17.8221,2023,TJPE,,PESSOA FÍSICA,MAGAZINE LUIZA/,Varejo e serviços,PARCIALMENTE PROCEDENTE,True,1500.0,4436
0000598-72.2023.8.17.8222,2023,TJPE,,,,,ACORDO HOMOLOGADO,,,3012
0000605-08.2021.8.17.8231,2021,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2969
0000608-21.2021.8.17.2230,2021,TJPE,Barreiros,PESSOA FÍSICA,NEONERGIA PERNAMBUCO - CIA ENERGETICA DE PERNAMBUCO,Energia,IMPROCEDENTE,False,,7974
0000610-34.2016.8.10.0072,2016,TJMA,,PESSOA FÍSICA,VANESSA MÓVEIS,Outros,EXTINTO SEM MÉRITO,False,,1825
0000615-82.2021.8.17.8221,2021,TJPE,,PESSOA FÍSICA,OI MOVEL,Telecomunicações,IMPROCEDENTE,False,,10320
0000622-64.2014.8.05.0199,2014,TJBA,Poções,,,,PARCIALMENTE PROCEDENTE,True,16000.0,24587
0000623-37.2018.8.17.8230,2018,TJPE,,,,,PROCEDENTE,True,2000.0,3740
0000633-38.2019.8.17.8233,2019,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2690
0000641-39.2018.8.10.0119,2018,TJMA,Santo Antonio dos Lopes,PESSOA FÍSICA,BANCO BRADESCO FINANCIAMENTOS,Banco e financeira,IMPROCEDENTE,False,,8042
0000643-50.2021.8.17.8221,2021,TJPE,,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,EXTINTO SEM MÉRITO,False,,1262
0000646-02.2021.8.17.8222,2021,TJPE,,PESSOA FÍSICA,RECOVERY DO BRASIL CONSULTORIA,Outros,PARCIALMENTE PROCEDENTE,True,,8532
0000646-28.2023.8.17.8223,2023,TJPE,,,,,IMPROCEDENTE,False,,3376
0000669-44.2023.8.17.8232,2023,TJPE,,PESSOA FÍSICA,SKY SERVICOS DE BANDA LARGA,Telecomunicações,ACORDO HOMOLOGADO,,,1240
0000670-86.2024.8.17.8234,2024,TJPE,,,,,IMPROCEDENTE,False,,4356
0000673-30.2017.8.18.0063,2017,TJPI,Amarante,PESSOA FÍSICA,BANCO CETELEM,Banco e financeira,ACORDO HOMOLOGADO,,,1348
0000673-81.2023.8.17.8232,2023,TJPE,,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,ACORDO HOMOLOGADO,,,1234
0000676-74.2016.8.25.0014,2016,TJSE,Canindé de São Francisco,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1849
0000677-17.2020.8.17.8235,2020,TJPE,,PESSOA FÍSICA,BANCO FICSA,Banco e financeira,IMPROCEDENTE,False,,4000
0000691-39.2022.8.17.8232,2022,TJPE,,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,6414
0000693-62.2015.8.18.0072,2015,TJPI,São Pedro do Piauí,PESSOA FÍSICA,EMPRESA DE TELEFONIA TIM CELULAR,Telecomunicações,ACORDO HOMOLOGADO,,,2182
0000705-64.2019.8.18.0063,2019,TJPI,Amarante,PESSOA FÍSICA,BANCO CETELEM,Banco e financeira,IMPROCEDENTE,False,,3225
0000707-28.2014.8.18.0057,2014,TJPI,Jaicós,PESSOA FÍSICA,BCV - BANCO DE CREDITO E VAREJO,Banco e financeira,EXTINTO SEM MÉRITO,False,,1075
0000707-95.2019.8.17.8232,2019,TJPE,,,,,PROCEDENTE,True,4000.0,5984
0000719-81.2020.8.17.8230,2020,TJPE,,,,,ACORDO HOMOLOGADO,,,3297
0000721-97.2023.8.17.2490,2023,TJPE,Catende,PESSOA FÍSICA,RGA PROMOTORA DE NEGOCIOS,Outros,EXTINTO SEM MÉRITO,False,,2071
0000724-16.2023.8.17.8225,2023,TJPE,Santa Cruz do Capibaribe,PESSOA FÍSICA,WILL S.A. INSTITUICAO DE PAGAMENTO,Outros,PROCEDENTE,True,3000.0,9502
0000724-27.2020.8.17.8223,2020,TJPE,,,,,EXTINTO SEM MÉRITO,False,,5031
0000736-39.2023.8.17.8222,2023,TJPE,,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,PROCEDENTE,True,5000.0,6264
0000746-95.2019.8.17.8231,2019,TJPE,,,,,IMPROCEDENTE,False,,2460
0000752-79.2017.8.10.0144,2017,TJMA,São Pedro da Água Branca,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,2000.0,13951
0000756-42.2015.8.14.0026,2015,TJPA,Jacundá,,,,IMPROCEDENTE,False,,15327
0000762-69.2021.8.17.8234,2021,TJPE,,PESSOA FÍSICA,BANCO BRADESCO,Banco e financeira,EXTINTO SEM MÉRITO,False,,3069
0000779-17.2021.8.17.8231,2021,TJPE,,,,,EXTINTO SEM MÉRITO,False,,2952
0000787-77.2017.8.10.0099,2017,TJMA,,PESSOA FÍSICA,MUNICÍPIO DE MIRADOR/MA,Poder público,IMPROCEDENTE,False,,8738
0000788-59.2024.8.17.8235,2024,TJPE,Pesqueira,PESSOA FÍSICA,GOL LINHAS AEREAS,Transporte aéreo,PROCEDENTE,True,5000.0,12960
0000795-72.2019.8.18.0063,2019,TJPI,Amarante,PESSOA FÍSICA,BANCO OLÉ BONSUCESSO CONSIGNADO,Banco e financeira,IMPROCEDENTE,False,,3705
0000805-76.2022.8.17.3220,2022,TJPE,Salgueiro,PESSOA FÍSICA,MAGAZINE LUIZA,Varejo e serviços,PROCEDENTE,True,208.91,21102
0000806-34.2020.8.17.8231,2020,TJPE,,,,,PROCEDENTE,True,5000.0,14809
0000815-35.2016.8.18.0074,2016,TJPI,Simões,PESSOA FÍSICA,BANCO VOTORANTIM,Banco e financeira,EXTINTO SEM MÉRITO,False,,12963
0000818-11.2021.8.17.8232,2021,TJPE,,PESSOA FÍSICA,BANCO DO BRASIL,Banco e financeira,,,,2272
0000818-42.2020.8.17.8233,2020,TJPE,,PESSOA FÍSICA,,,PROCEDENTE,True,,10330
0000824-33.2021.8.17.8227,2021,TJPE,,,,,IMPROCEDENTE,False,,4213
0000835-16.2016.8.18.0045,2016,TJPI,Castelo do Piauí,PESSOA FÍSICA,BANCO ITAU CONSIGNADO,Banco e financeira,IMPROCEDENTE,False,,13991
0000863-13.2014.8.05.0272,2014,TJBA,Valente,PESSOA FÍSICA,LG ELECTRONICS DO BRASIL,Outros,EXTINTO SEM MÉRITO,False,,4772
0000864-51.2017.8.10.0143,2017,TJMA,Morros,PESSOA FÍSICA,BANCO PAN,Banco e financeira,PARCIALMENTE PROCEDENTE,True,54.0,8300
0000870-30.2023.8.17.8234,2023,TJPE,,,,,IMPROCEDENTE,False,,3100
0000873-74.2021.8.27.2705,2021,TJTO,,PESSOA FÍSICA,BANCO BMG,Banco e financeira,IMPROCEDENTE,False,,15957
0000887-41.2024.8.17.8231,2024,TJPE,Configuração de Falta Funcional Grave,,,,EXTINTO SEM MÉRITO,False,,2456
0000892-65.2021.8.17.8232,2021,TJPE,,PESSOA FÍSICA,BANCO CSF,Banco e financeira,,,,5716
0000896-49.2014.8.17.8232,2014,TJPE,,,,,PROCEDENTE,True,3000.0,6015
0000899-84.2018.8.18.0100,2018,TJPI,Manoel Emídio,PESSOA FÍSICA,,,IMPROCEDENTE,False,,10387
0000901-95.2019.8.17.8232,2019,TJPE,,,,,ACORDO HOMOLOGADO,,,1417
0000904-24.2016.8.10.0125,2016,TJMA,São João Batista,PESSOA FÍSICA,BANCO ITAÚ CONSIGNADOS,Banco e financeira,IMPROCEDENTE,False,500.0,7232
0000923-12.2023.8.17.2640,2023,TJPE,Garanhuns,PESSOA FÍSICA,UNASPUB - UNIAO NACIONAL DE AUXILIO AOS SERVIDORES PUBLICOS,Poder público,PROCEDENTE,True,5000.0,21940
0000925-63.2018.8.17.8231,2018,TJPE,,,,,IMPROCEDENTE,False,,9777
0000929-04.2024.8.25.0072,2024,TJSE,,,,,,,,4055
0000952-64.2023.8.17.8233,2023,TJPE,,,,,EXTINTO SEM MÉRITO,False,,3184
0000962-26.2014.8.10.0051,2014,TJMA,Pedreiras,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1811
0000980-71.2019.8.17.8233,2019,TJPE,,,,,IMPROCEDENTE,False,,3730
0000987-72.2014.8.05.0182,2014,TJBA,,PESSOA FÍSICA,AZUL COMPANHIA DE SEGUROS GERAIS,Transporte aéreo,EXTINTO SEM MÉRITO,False,,1918
0000997-21.2016.8.17.8231,2016,TJPE,,,,,PARCIALMENTE PROCEDENTE,True,,11662
0001000-50.2023.8.17.8224,2023,TJPE,Gravatá,,,,,,,744
0001016-70.2015.8.10.0143,2015,TJMA,Morros,PESSOA FÍSICA,BANCO BRADESCO FINANCIAMENTOS,Banco e financeira,IMPROCEDENTE,False,,8328
0001017-08.2015.8.05.0139,2015,TJBA,,PESSOA FÍSICA,BANCO ORIGINAL,Banco e financeira,IMPROCEDENTE,False,,10793
0001018-13.2022.8.17.2370,2022,TJPE,,PESSOA FÍSICA,BANCO ITAU CONSIGNADO,Banco e financeira,IMPROCEDENTE,False,,11590
0001019-89.2022.8.17.2760,2022,TJPE,Itamaracá,PESSOA FÍSICA,GENERAL MOTORS DO BRASIL,Outros,ACORDO HOMOLOGADO,,,2301
0001022-33.2016.8.10.0114,2016,TJMA,Riachão,PESSOA FÍSICA,,,PARCIALMENTE PROCEDENTE,True,,4585
0001027-03.2023.8.17.8234,2023,TJPE,,,,,IMPROCEDENTE,False,,10080
0001029-76.2023.8.17.8232,2023,TJPE,,,,,EXTINTO SEM MÉRITO,False,,1785
0001033-74.2017.8.10.0131,2017,TJMA,Senador La Rocque,PESSOA FÍSICA,BANCO BRADESCO FINANCIAMENTOS,Banco e financeira,IMPROCEDENTE,False,,2525
0001062-14.2017.8.10.0103,2017,TJMA,Olho D'água das Cunhãs,PESSOA FÍSICA,TAM LINHAS AEREAS S/A E OUTROS,Transporte aéreo,ACORDO HOMOLOGADO,,,7687
0001062-14.2023.8.17.2300,2023,TJPE,Bom Conselho,PESSOA FÍSICA,NEONERGIA PERNAMBUCO - CIA ENERGETICA DE PERNAMBUCO,Energia,IMPROCEDENTE,False,,12193
0001066-11.2020.8.17.8232,2020,TJPE,,,,,ACORDO HOMOLOGADO,,,757
0001071-23.2017.8.10.0055,2017,TJMA,,PESSOA JURÍDICA,,,EXTINTO SEM MÉRITO,False,,1118
0001071-64.2019.8.17.8233,2019,TJPE,,,,,EXTINTO SEM MÉRITO,False,,4440
0001072-50.2016.8.18.0045,2016,TJPI,Castelo do Piauí,PESSOA FÍSICA,FINANCEIRA ITAU CBD S.A. - CREDITO,Banco e financeira,IMPROCEDENTE,False,,4220
0001077-70.2014.8.15.2003,2014,TJPB,,PESSOA FÍSICA,BANCO HONDA,Banco e financeira,EXTINTO SEM MÉRITO,False,,1306
0001077-89.2019.8.17.8227,2019,TJPE,,,,,ACORDO HOMOLOGADO,,,941
0001079-09.2025.8.02.0001,2025,TJAL,Guarulhos,PESSOA FÍSICA,TAM - LINHAS AÉREAS,Transporte aéreo,PROCEDENTE,True,1820.0,16507
0001079-85.2021.8.17.8228,2021,TJPE,,,,,EXTINTO SEM MÉRITO,False,,5523
0001082-59.2014.8.05.0261,2014,TJBA,Tucano,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,6947
0001092-92.2023.8.17.8235,2023,TJPE,Pesqueira,PESSOA FÍSICA,ART VIAGENS E TURISMO,Outros,EXTINTO SEM MÉRITO,False,,997
0001109-64.2018.8.10.0131,2018,TJMA,Senador La Rocque,PESSOA FÍSICA,BANCO ITAÚ CONSIGNADOS,Banco e financeira,IMPROCEDENTE,False,,2913
0001123-78.2024.8.17.8235,2024,TJPE,Pesqueira,PESSOA FÍSICA,AZUL LINHAS AEREAS BRASILEIRAS,Transporte aéreo,PROCEDENTE,True,83.93,10366
0001135-23.2024.8.27.2736,2024,TJTO,,PESSOA FÍSICA,UNASPUB - UNIAO NACIONAL DE AUXILIO AOS SERVIDORES PUBLICOS,Poder público,PROCEDENTE,True,2000.0,12712
0001153-69.2014.8.05.0226,2014,TJBA,Santaluz,PESSOA FÍSICA,,,PROCEDENTE,True,4000.0,4866
0001156-86.2019.8.17.8221,2019,TJPE,,,,,EXTINTO SEM MÉRITO,False,,870
0001172-90.2023.8.27.2734,2023,TJTO,,PESSOA FÍSICA,VIA,Outros,ACORDO HOMOLOGADO,,,2394
0001175-26.2023.8.17.8230,2023,TJPE,Uso das Vias Judiciais Ordinárias de Cobrança,,,,PROCEDENTE,True,,6742
0001176-09.2021.8.17.2110,2021,TJPE,Afogados da Ingazeira,PESSOA FÍSICA,BANCO SANTANDER (BRASIL),Banco e financeira,ACORDO HOMOLOGADO,,,2411
0001190-54.2021.8.17.8233,2021,TJPE,,PESSOA FÍSICA,,,EXTINTO SEM MÉRITO,False,,1330
0001196-07.2014.8.17.8201,2014,TJPE,,,,,EXTINTO SEM MÉRITO,False,,857
